config_id,geometry_ok,stl_ok,stl_path,stl_abs_path,stl_size_bytes,volume_mm3,volume_cm3,volume_m3,n_meshes,n_vertices,n_triangles,selected_output_name,all_output_names,output_summary,error_message,debug_json_path
2684,True,True,stl\prop_2684.stl,C:\Users\hecto\Desktop\bachelor-thesis\IDEAL-Propeller-Dataset\stl\prop_2684.stl,2339484,11567.76,11.5678,1.1568e-05,1,26287,46788,MeshFinal,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades,MeshLauncher(1); MeshRing(1); MeshProfile(5); MeshFinal(1); InnerProfile(1); MiddleProfile(1); OuterProfile(1); MeshSimpleInterface(1); MeshUntrimmedBlades(5),,
2745,True,True,stl\prop_2745.stl,C:\Users\hecto\Desktop\bachelor-thesis\IDEAL-Propeller-Dataset\stl\prop_2745.stl,2076584,16679.18,16.6792,1.6679e-05,1,23415,41530,MeshFinal,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades,MeshLauncher(1); MeshRing(1); MeshProfile(4); MeshFinal(1); InnerProfile(1); MiddleProfile(1); OuterProfile(1); MeshSimpleInterface(1); MeshUntrimmedBlades(4),,
2759,True,True,stl\prop_2759.stl,C:\Users\hecto\Desktop\bachelor-thesis\IDEAL-Propeller-Dataset\stl\prop_2759.stl,2376984,13273.26,13.2733,1.3273e-05,1,27135,47538,MeshFinal,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades,MeshLauncher(1); MeshRing(1); MeshProfile(6); MeshFinal(1); InnerProfile(1); MiddleProfile(1); OuterProfile(1); MeshSimpleInterface(1); MeshUntrimmedBlades(6),,
2798,True,True,stl\prop_2798.stl,C:\Users\hecto\Desktop\bachelor-thesis\IDEAL-Propeller-Dataset\stl\prop_2798.stl,2357584,10063.29,10.0633,1.0063e-05,1,26542,47150,MeshFinal,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades,MeshLauncher(1); MeshRing(1); MeshProfile(5); MeshFinal(1); InnerProfile(1); MiddleProfile(1); OuterProfile(1); MeshSimpleInterface(1); MeshUntrimmedBlades(5),,
2831,True,True,stl\prop_2831.stl,C:\Users\hecto\Desktop\bachelor-thesis\IDEAL-Propeller-Dataset\stl\prop_2831.stl,1768784,8091.2,8.0912,8.091e-06,1,20489,35374,MeshFinal,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades,MeshLauncher(1); MeshRing(1); MeshProfile(5); MeshFinal(1); InnerProfile(1); MiddleProfile(1); OuterProfile(1); MeshSimpleInterface(1); MeshUntrimmedBlades(5),,
2873,True,True,stl\prop_2873.stl,C:\Users\hecto\Desktop\bachelor-thesis\IDEAL-Propeller-Dataset\stl\prop_2873.stl,2770484,26076.81,26.0768,2.6077e-05,1,31075,55408,MeshFinal,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades,MeshLauncher(1); MeshRing(1); MeshProfile(6); MeshFinal(1); InnerProfile(1); MiddleProfile(1); OuterProfile(1); MeshSimpleInterface(1); MeshUntrimmedBlades(6),,
2921,True,True,stl\prop_2921.stl,C:\Users\hecto\Desktop\bachelor-thesis\IDEAL-Propeller-Dataset\stl\prop_2921.stl,2374984,23458.8,23.4588,2.3459e-05,1,26874,47498,MeshFinal,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades,MeshLauncher(1); MeshRing(1); MeshProfile(5); MeshFinal(1); InnerProfile(1); MiddleProfile(1); OuterProfile(1); MeshSimpleInterface(1); MeshUntrimmedBlades(5),,
3007,True,True,stl\prop_3007.stl,C:\Users\hecto\Desktop\bachelor-thesis\IDEAL-Propeller-Dataset\stl\prop_3007.stl,1888984,8306.55,8.3066,8.307e-06,1,21780,37778,MeshFinal,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades,MeshLauncher(1); MeshRing(1); MeshProfile(5); MeshFinal(1); InnerProfile(1); MiddleProfile(1); OuterProfile(1); MeshSimpleInterface(1); MeshUntrimmedBlades(5),,
3010,True,True,stl\prop_3010.stl,C:\Users\hecto\Desktop\bachelor-thesis\IDEAL-Propeller-Dataset\stl\prop_3010.stl,2315584,26188.37,26.1884,2.6188e-05,1,26207,46310,MeshFinal,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades,MeshLauncher(1); MeshRing(1); MeshProfile(5); MeshFinal(1); InnerProfile(1); MiddleProfile(1); OuterProfile(1); MeshSimpleInterface(1); MeshUntrimmedBlades(5),,
3070,True,True,stl\prop_3070.stl,C:\Users\hecto\Desktop\bachelor-thesis\IDEAL-Propeller-Dataset\stl\prop_3070.stl,2635884,20469.78,20.4698,2.047e-05,1,29658,52716,MeshFinal,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades,MeshLauncher(1); MeshRing(1); MeshProfile(6); MeshFinal(1); InnerProfile(1); MiddleProfile(1); OuterProfile(1); MeshSimpleInterface(1); MeshUntrimmedBlades(6),,
