config_id,radius,ring height,ring thickness,blade count,inner thickness,inner max pos,inner camber,inner chord,inner angle,mid radial pos,mid chord,mid angle,outer thickness,outer max pos,outer camber,outer chord,outer angle,m_hub_kg,m_blades_kg,m_outer_ring_kg,m_total_kg,naca_hub,naca_inner,naca_mid,naca_outer,qprop_ok,V,rpm,Dbeta,T,Q,Pshaft,CT,CP,FOM,eff_aero,cl_avg,cd_avg,flight_ok,can_liftoff,rpm_launch,mass_kg,inertia_kg_m2,frontal_area_m2,T_static_N,Pshaft_ref_W,Q_ref_Nm,T_over_W_static,h_max_m,flight_time_s,hover_time_s,v_max_up_m_s,v_impact_m_s,rpm_impact,spin_stop_time_s,inner_solidity,mid_radius_mm,mid_solidity,mid_thickness,inner_abs_thickness_mm,mid_abs_thickness_mm,outer_abs_thickness_mm,min_blade_abs_thickness_mm,max_section_solidity
3902,75,4.0,2.0,5,21,7,4,6,21,0.6,21,12,18,6,7,20,3,0.000633,0.011576,0.002295,0.014505,4721,4721,6619,7618,True,0.0,4000.0,0.0,0.1439,0.004934,2.067,0.01347,0.006158,0.12692,0.40094,0.0978,0.04829,True,True,4000.0,0.014505,3.7e-05,0.001156,0.1439,2.066749,0.004934,1.01132,2.4e-05,0.053825,0.017792,0.000989,-0.002951,3933.120154,,0.578745,45.0,0.371362,19.2,1.26,4.032,3.6,1.26,0.578745
3939,62,5.0,2.5,4,17,5,6,7,22,0.4,21,12,8,2,5,20,8,0.000633,0.00586,0.002964,0.009457,6517,6517,6414,5208,True,0.0,4000.0,0.0,0.1781,0.001654,0.693,0.0357,0.005349,0.63054,1.16722,0.26,0.01482,True,True,4000.0,0.009457,2e-05,0.001188,0.1781,0.692826,0.001654,1.919655,11.794579,6.341297,1.947911,5.019611,-7.41603,1778.976355,,0.540162,24.8,0.539073,13.4,1.19,2.814,1.6,1.19,0.540162
3950,66,4.0,2.0,6,23,4,2,5,22,0.6,11,7,21,5,2,11,4,0.000633,0.004049,0.002019,0.006702,2423,2423,2522,2521,True,0.0,4000.0,0.0,0.1519,0.001061,0.4446,0.02371,0.00251,0.72722,1.28376,0.2402,0.00808,True,True,4000.0,0.006702,1.6e-05,0.001043,0.1519,0.444431,0.001061,2.310519,21.944504,9.433462,3.181234,7.154799,-7.291387,1575.27323,,0.578745,39.6,0.265258,21.8,1.15,2.398,2.31,1.15,0.578745
3959,61,4.0,2.0,4,21,3,5,5,20,0.6,15,8,12,4,2,11,5,0.000633,0.002913,0.001866,0.005413,5320,5321,3416,2412,True,0.0,4000.0,0.0,0.04215,0.00077,0.3224,0.009016,0.002699,0.1586,0.4651,0.103,0.03363,True,False,4000.0,0.005413,1.1e-05,0.00098,0.04215,0.322537,0.00077,0.793825,0.0,0.0,0.0,0.0,0.0,4000.0,,0.38583,36.6,0.26091,15.6,1.05,2.34,1.32,1.05,0.38583
3995,66,8.0,4.0,3,14,7,3,8,21,0.4,27,15,10,3,1,26,13,0.000633,0.007761,0.008077,0.016472,3714,3714,2613,1310,True,0.0,4000.0,0.0,0.2401,0.002207,0.9244,0.03747,0.00522,0.69507,1.24519,0.2755,0.00884,True,True,4000.0,0.016472,4.8e-05,0.001873,0.2401,0.924466,0.002207,1.485901,8.315046,6.28304,1.992951,3.317075,-6.20804,2368.524657,,0.462996,26.4,0.488316,12.4,1.12,3.348,2.6,1.12,0.488316
4084,66,4.0,2.0,4,16,7,1,8,17,0.4,21,14,15,6,4,15,9,0.000633,0.007126,0.002019,0.009779,1716,1716,2716,4615,True,0.0,4000.0,0.0,0.07302,0.001831,0.7669,0.0114,0.00433,0.14051,0.42912,0.1029,0.04417,True,False,4000.0,0.009779,2.1e-05,0.001043,0.07302,0.766967,0.001831,0.761173,0.0,0.0,0.0,0.0,0.0,4000.0,,0.617328,26.4,0.506402,15.6,1.28,3.276,2.25,1.28,0.617328
4121,69,4.0,2.0,5,21,6,3,6,20,0.5,18,8,11,8,5,15,3,0.000633,0.006405,0.002111,0.009149,3620,3621,4717,5811,True,0.0,4000.0,0.0,0.0712,0.001544,0.6467,0.009304,0.002924,0.15347,0.45501,0.0766,0.02639,True,False,4000.0,0.009149,2.2e-05,0.001081,0.0712,0.646749,0.001544,0.793287,0.0,0.0,0.0,0.0,0.0,4000.0,,0.578745,34.5,0.415187,16.0,1.26,2.88,1.65,1.26,0.578745
4136,69,7.0,3.5,5,22,3,5,6,21,0.4,29,15,6,7,1,23,13,0.000633,0.015593,0.006465,0.022692,5321,5322,4417,1706,True,0.0,4000.0,0.0,0.2792,0.003361,1.408,0.03649,0.006364,0.54735,1.06256,0.2243,0.01879,True,True,4000.0,0.022692,5.9e-05,0.001731,0.2792,1.407852,0.003361,1.254229,1.233421,2.846592,0.879164,1.008345,-2.631479,2881.769784,,0.578745,27.6,0.83614,15.6,1.32,4.524,1.38,1.32,0.83614
4156,66,4.0,2.0,4,16,3,7,8,21,0.4,15,16,10,5,1,12,9,0.000633,0.003128,0.002019,0.00578,7316,7316,5414,1510,True,0.0,4000.0,0.0,0.1882,0.001368,0.5731,0.02937,0.003236,0.77803,1.34245,0.3613,0.008134,True,True,4000.0,0.00578,1.4e-05,0.001043,0.1882,0.573027,0.001368,3.318866,28.308023,10.512682,3.510078,9.524751,-7.276946,1158.507637,,0.617328,26.4,0.361716,13.6,1.28,2.04,1.2,1.2,0.617328
4190,70,4.0,2.0,5,20,3,0,6,23,0.6,20,11,12,4,5,15,4,0.000633,0.007256,0.002142,0.010031,0019,0020,3415,5412,True,0.0,4000.0,0.0,0.156,0.002662,1.115,0.01924,0.004692,0.28455,0.68649,0.1457,0.0332,True,True,4000.0,0.010031,2.4e-05,0.001093,0.156,1.115056,0.002662,1.585334,3.11204,3.349993,0.97312,2.263815,-4.927074,2116.719412,,0.578745,42.0,0.37894,15.2,1.2,3.04,1.8,1.2,0.578745
4206,75,6.0,3.0,5,22,6,5,5,20,0.6,26,13,7,2,3,24,10,0.000633,0.011261,0.005163,0.017058,5621,5622,4413,3207,True,0.0,4000.0,0.0,0.5391,0.006138,2.571,0.05046,0.007661,0.73992,1.29845,0.3015,0.00994,True,True,4000.0,0.017058,5.3e-05,0.001628,0.5391,2.571079,0.006138,3.221672,31.582137,9.415117,2.860687,10.890403,-10.102117,1106.473075,,0.482288,45.0,0.459781,13.0,1.1,3.38,1.68,1.1,0.482288
4364,65,4.0,2.0,4,21,7,4,6,21,0.5,22,7,12,4,6,13,4,0.000633,0.00664,0.001989,0.009262,4720,4721,5617,6412,True,0.0,4000.0,0.0,0.02443,0.001604,0.6721,0.004054,0.004096,0.03151,0.15836,0.0353,0.04385,True,False,4000.0,0.009262,1.9e-05,0.001031,0.02443,0.671882,0.001604,0.268878,0.0,0.0,0.0,0.0,0.0,4000.0,,0.462996,32.5,0.430943,16.5,1.26,3.63,1.56,1.26,0.462996
4365,62,4.0,2.0,4,17,7,7,7,20,0.5,19,15,13,5,2,17,4,0.000633,0.005112,0.001897,0.007642,7717,7717,5615,2513,True,0.0,4000.0,0.0,0.1385,0.001345,0.5635,0.02776,0.004349,0.53178,1.0419,0.2265,0.02465,True,True,4000.0,0.007642,1.5e-05,0.000993,0.1385,0.563392,0.001345,1.847447,8.96965,5.485558,1.657573,4.300747,-6.94445,1829.779684,,0.540162,31.0,0.390186,15.0,1.19,2.85,2.21,1.19,0.540162
4467,62,4.0,2.0,5,23,4,5,5,21,0.5,13,8,13,4,2,13,3,0.000633,0.003674,0.001897,0.006204,5422,5423,4419,2413,True,0.0,4000.0,0.0,0.06261,0.000688,0.2881,0.01255,0.002223,0.31614,0.7368,0.1172,0.01542,True,True,4000.0,0.006204,1.3e-05,0.000993,0.06261,0.288189,0.000688,1.028659,0.002279,0.334371,0.109969,0.015392,-0.045527,3834.581946,,0.482288,31.0,0.333712,18.0,1.15,2.34,1.69,1.15,0.482288
4500,63,4.0,2.0,5,18,3,4,6,22,0.4,14,9,13,5,4,14,4,0.000633,0.004351,0.001928,0.006912,4318,4318,4417,4513,True,0.0,4000.0,0.0,0.01843,0.001048,0.4389,0.003465,0.003127,0.03262,0.16204,0.032,0.03752,True,False,4000.0,0.006912,1.4e-05,0.001006,0.01843,0.438985,0.001048,0.271799,0.0,0.0,0.0,0.0,0.0,4000.0,,0.578745,25.2,0.442097,16.0,1.08,2.24,1.82,1.08,0.578745
