config_id,geometry_ok,stl_path,volume_mm3,volume_cm3,volume_m3,n_vertices,n_triangles,selected_output_name,error_message,step_ok,step_path,step_error
161,False,stl\prop_161.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_161.step,
162,False,stl\prop_162.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_162.step,
163,False,stl\prop_163.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_163.step,
164,False,stl\prop_164.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_164.step,
165,False,stl\prop_165.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_165.step,
166,False,stl\prop_166.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_166.step,
167,False,stl\prop_167.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_167.step,
168,False,stl\prop_168.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_168.step,
169,False,stl\prop_169.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_169.step,
170,False,stl\prop_170.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_170.step,
171,False,stl\prop_171.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_171.step,
172,False,stl\prop_172.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_172.step,
173,False,stl\prop_173.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_173.step,
174,False,stl\prop_174.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_174.step,
175,False,stl\prop_175.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_175.step,
176,False,stl\prop_176.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_176.step,
177,False,stl\prop_177.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_177.step,
178,False,stl\prop_178.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_178.step,
179,False,stl\prop_179.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_179.step,
180,False,stl\prop_180.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_180.step,
181,False,stl\prop_181.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_181.step,
182,False,stl\prop_182.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_182.step,
