config_id,geometry_ok,stl_ok,stl_path,stl_size_bytes,volume_mm3,volume_cm3,volume_m3,n_vertices,n_triangles,selected_output_name,error_message,step_ok,step_path,step_error,threedm_ok,threedm_path,all_output_names
3050,False,False,stl\prop_3050.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_3050.step,,False,3dm\prop_3050.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
3072,False,False,stl\prop_3072.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_3072.step,,False,3dm\prop_3072.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
3122,False,False,stl\prop_3122.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_3122.step,,False,3dm\prop_3122.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
3208,False,False,stl\prop_3208.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_3208.step,,False,3dm\prop_3208.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
3274,False,False,stl\prop_3274.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_3274.step,,False,3dm\prop_3274.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
3347,False,False,stl\prop_3347.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_3347.step,,False,3dm\prop_3347.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
3462,False,False,stl\prop_3462.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_3462.step,,False,3dm\prop_3462.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
3529,False,False,stl\prop_3529.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_3529.step,,False,3dm\prop_3529.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
3562,False,False,stl\prop_3562.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_3562.step,,False,3dm\prop_3562.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
3569,False,False,stl\prop_3569.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_3569.step,,False,3dm\prop_3569.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
3682,False,False,stl\prop_3682.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_3682.step,,False,3dm\prop_3682.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
3711,False,False,stl\prop_3711.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_3711.step,,False,3dm\prop_3711.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
3720,False,False,stl\prop_3720.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_3720.step,,False,3dm\prop_3720.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
3856,False,False,stl\prop_3856.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_3856.step,,False,3dm\prop_3856.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
3887,False,False,stl\prop_3887.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_3887.step,,False,3dm\prop_3887.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
3909,False,False,stl\prop_3909.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_3909.step,,False,3dm\prop_3909.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
3939,False,False,stl\prop_3939.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_3939.step,,False,3dm\prop_3939.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
3961,False,False,stl\prop_3961.stl,,,,,,,MeshFinal,'rhino3dm._rhino3dm.MeshVertexList' object has no attribute 'Count',False,step\prop_3961.step,,False,3dm\prop_3961.3dm,MeshLauncher; MeshRing; MeshProfile; MeshFinal; InnerProfile; MiddleProfile; OuterProfile; MeshSimpleInterface; MeshUntrimmedBlades
