config_id,naca_hub,re_hub,tier_hub,naca_mid,re_mid,tier_mid,naca_outer,re_outer,tier_outer,hub_CL0,hub_CL_a,hub_CLmin,hub_CLmax,hub_CD0,hub_CD2u,hub_CD2l,hub_CLCD0,hub_REref,hub_REexp,hub_xfoil_ok,mid_CL0,mid_CL_a,mid_CLmin,mid_CLmax,mid_CD0,mid_CD2u,mid_CD2l,mid_CLCD0,mid_REref,mid_REexp,mid_xfoil_ok,outer_CL0,outer_CL_a,outer_CLmin,outer_CLmax,outer_CD0,outer_CD2u,outer_CD2l,outer_CLCD0,outer_REref,outer_REexp,outer_xfoil_ok
4822,2721,10000,inviscid,3616,25000,viscous,3512,30000,inviscid,0.3868,7.3573,-0.2482,2.1748,0.0092,0.02,0.02,0.3868,10000,-0.5,False,-0.1466,3.6122,-0.4874,0.6983,0.041212,0.199742,0.199742,-0.1751,25000,-0.5,True,0.4212,6.87,-0.1756,2.0869,0.008,0.02,0.02,0.4212,30000,-0.5,False
4823,4318,10000,viscous,2315,20000,inviscid,0010,20000,viscous,-0.2054,3.0506,-0.2063,0.5249,0.051944,0.108975,0.108975,-0.5354,10000,-0.5,True,0.2439,7.0477,-0.3568,1.9652,0.008,0.02,0.02,0.2439,20000,-0.5,False,-0.0833,5.5916,-0.1897,0.6678,0.007362,0.036167,0.036167,-0.6875,20000,-0.5,True
4824,3520,10000,inviscid,4419,10000,viscous,6318,15000,inviscid,0.4448,7.2995,-0.189,2.2147,0.009,0.02,0.02,0.4448,10000,-0.5,False,-0.2317,3.1977,-0.2008,0.5121,0.064741,0.152107,0.152107,-0.349,10000,-0.5,True,0.7442,7.173,0.1027,2.4631,0.0086,0.02,0.02,0.7442,15000,-0.5,False
4825,3522,10000,inviscid,3714,30000,inviscid,3711,20000,viscous,0.4501,7.4079,-0.193,2.2464,0.0094,0.02,0.02,0.4501,10000,-0.5,False,0.5567,6.9612,-0.0559,2.2358,0.008,0.02,0.02,0.5567,30000,-0.5,False,0.0292,4.6912,-0.4472,0.8303,0.024462,0.074867,0.074867,-0.2093,20000,-0.5,True
4826,2311,10000,inviscid,3410,25000,viscous,4409,25000,viscous,0.2361,6.8326,-0.3463,1.9048,0.008,0.02,0.02,0.2361,10000,-0.5,False,0.0701,3.3149,-0.3954,0.8232,0.0303,0.245893,0.245893,0.0577,25000,-0.5,True,0.1529,3.3271,-0.3568,0.913,0.033093,0.230396,0.230396,0.1267,25000,-0.5,True
4827,5522,10000,inviscid,6422,10000,inviscid,8221,20000,inviscid,0.747,7.378,0.0882,2.5162,0.0094,0.02,0.02,0.747,10000,-0.5,False,0.8203,7.3746,0.1573,2.5838,0.0094,0.02,0.02,0.8203,10000,-0.5,False,0.9536,7.3275,0.2864,2.6965,0.0092,0.02,0.02,0.9536,20000,-0.5,False
4828,3722,10000,inviscid,2621,25000,inviscid,0020,30000,inviscid,0.5807,7.3917,-0.069,2.3643,0.0094,0.02,0.02,0.5807,10000,-0.5,False,0.3342,7.3626,-0.2982,2.1271,0.0092,0.02,0.02,0.3342,25000,-0.5,False,0.0006,7.3349,-0.6091,1.8089,0.009,0.02,0.02,0.0006,30000,-0.5,False
4829,7319,10000,inviscid,4519,30000,viscous,1718,20000,inviscid,0.8729,7.2161,0.2199,2.5938,0.0088,0.02,0.02,0.8729,10000,-0.5,False,-0.3172,4.9347,-0.5359,0.6724,0.054851,0.132524,0.132524,-0.3201,30000,-0.5,True,0.1913,7.2118,-0.4199,1.9565,0.0086,0.02,0.02,0.1913,20000,-0.5,False
4830,1724,10000,inviscid,3723,25000,viscous,5821,30000,viscous,0.1967,7.5383,-0.4418,2.0421,0.0098,0.02,0.02,0.1967,10000,-0.5,False,-0.4303,4.0406,-0.453,0.5175,0.076777,0.173353,0.173353,-0.3331,25000,-0.5,True,-0.4771,5.2687,-0.4597,0.7418,0.074915,0.126308,0.126308,-0.2887,30000,-0.5,True
4831,2618,10000,inviscid,4716,25000,viscous,7814,35000,inviscid,0.3286,7.2005,-0.2899,2.0819,0.0086,0.02,0.02,0.3286,10000,-0.5,False,-0.1865,4.8246,-0.4522,0.7847,0.044872,0.181911,0.181911,-0.123,25000,-0.5,True,1.5233,6.8159,0.864,3.1022,0.008,0.02,0.02,1.5233,35000,-0.5,False
4832,2623,10000,inviscid,2721,15000,inviscid,1819,25000,inviscid,0.3376,7.4714,-0.304,2.1572,0.0096,0.02,0.02,0.3376,10000,-0.5,False,0.3868,7.3573,-0.2482,2.1748,0.0092,0.02,0.02,0.3868,15000,-0.5,False,0.2372,7.2619,-0.3809,2.0117,0.0088,0.02,0.02,0.2372,25000,-0.5,False
