"config_id","naca_hub","naca_inner","naca_mid","naca_outer"
3448,"2618","2618","3718","7817"
3449,"5721","5721","5720","3415"
3450,"3320","3320","5417","8614"
3451,"0023","0023","2223","5323"
3452,"4622","4623","2515","2513"
3453,"4419","4419","3618","3718"
3454,"9217","9217","8315","6610"
3455,"1515","1515","6411","9409"
3456,"6420","6420","6420","4718"
3457,"8422","8422","6419","2513"
3458,"4622","4622","6419","7317"
3459,"4721","4722","3718","0008"
3460,"5819","5819","3715","0010"
3461,"4816","4816","5713","6610"
3462,"3624","3624","3622","3411"
3463,"3422","3422","6521","8520"
3464,"7824","7824","5722","1318"
3465,"8818","8818","7716","5310"
3466,"2723","2723","3623","6320"
3467,"2424","2424","2424","0024"
3468,"1522","1522","6721","9821"
3469,"0019","0019","2818","3817"
3470,"8422","8422","8421","7516"
3471,"5418","5418","7317","8317"
3472,"3618","3618","4618","8715"
3473,"0017","0017","0016","0011"
3474,"3516","3516","2514","1610"
3475,"9222","9223","8218","8215"
3476,"6720","6720","4518","1316"
3477,"3624","3624","4522","8217"
3478,"1421","1421","2521","6820"
3479,"5522","5522","6518","9410"
3480,"5423","5423","6520","8716"
3481,"7619","7619","8518","8518"
3482,"6319","6319","6418","8811"
3483,"3818","3818","3416","3215"
3484,"8518","8518","6518","1417"
3485,"1722","1722","4617","7512"
3486,"2622","2622","3619","7612"
3487,"7523","7523","7522","4617"
3488,"1419","1420","0010","0007"
3489,"2417","2418","2413","2410"
3490,"0018","0018","4416","7315"
3491,"1422","1423","5316","8212"
3492,"1219","1220","2315","3508"
3493,"8719","8719","6618","1414"
3494,"1620","1621","5414","6412"
3495,"5417","5417","7515","9613"
3496,"3416","3416","3415","2212"
3497,"8524","8524","8622","7816"
3498,"5216","5217","3412","1508"
3499,"6519","6520","4712","3806"
3500,"1423","1423","1622","1722"
3501,"4720","4720","4718","1510"
3502,"3720","3720","3718","2609"
3503,"3718","3718","2615","1511"
3504,"5519","5520","3711","3708"
3505,"5415","5415","4413","2310"
3506,"8321","8321","6419","5518"
3507,"2721","2722","3716","5709"
3508,"3618","3618","4516","6412"
3509,"6520","6521","7515","7513"
3510,"3720","3720","6815","7813"
3511,"9423","9423","9421","7412"
3512,"5819","5819","5719","6418"
3513,"8620","8620","5616","1712"
3514,"2220","2221","1315","1313"
3515,"4413","4413","6413","8312"
3516,"5318","5318","3315","0012"
3517,"5418","5418","6417","9414"
3518,"3519","3519","3518","4611"
3519,"7620","7621","8516","8412"
3520,"4719","4719","3718","2614"
3521,"4612","4612","6612","8711"
3522,"3423","3423","5422","8320"
3523,"5218","5218","4318","0017"
3524,"8418","8418","8418","6716"
3525,"1719","0019","5519","8419"
3526,"1214","1214","1313","3608"
3527,"3219","3220","2412","2607"
3528,"7321","7322","3415","1511"
3529,"7423","7424","5519","2613"
3530,"0017","0017","1416","4512"
3531,"6520","6521","5710","5807"
3532,"2421","2422","5515","7511"
3533,"3324","3324","5322","9317"
3534,"2417","2418","4410","4408"
3535,"5319","5319","6316","6315"
3536,"7522","7522","8420","8419"
3537,"1716","1716","2715","8410"
3538,"1520","1520","3420","6319"
3539,"9320","9321","7516","4810"
3540,"1317","1317","2515","3713"
3541,"8422","9423","5519","2516"
3542,"6422","6422","5419","4416"
3543,"1721","1721","1720","1619"
3544,"2322","2322","3420","6711"
3545,"0018","0018","1617","6711"
3546,"1420","1420","1320","1219"
3547,"6520","6520","3616","1613"
3548,"5820","5820","5719","6617"
3549,"6722","6722","7518","7416"
3550,"4622","4622","6521","7520"
3551,"4723","4723","3619","2616"
3552,"2317","2317","2416","5712"
3553,"4617","4617","4617","5516"
3554,"4419","4419","6415","8411"
3555,"5520","5520","2615","0012"
3556,"1621","1621","2619","6609"
3557,"8520","8520","6520","4520"
3558,"7322","7323","5319","1410"
3559,"6821","6821","5518","3215"
3560,"7422","7423","6317","5313"
3561,"1521","1522","1517","1611"
3562,"2420","2420","3418","8710"
3563,"6216","6216","7314","7312"
3564,"3720","3720","4618","8312"
3565,"2522","2522","2521","3513"
3566,"0019","0020","0013","0008"
3567,"4220","4220","6517","8715"
3568,"5821","5822","5719","6410"
3569,"2721","2721","4720","9716"
3570,"4217","4217","3217","2316"
3571,"7620","7620","6620","2517"
3572,"6619","6619","7618","8517"
3573,"2323","2323","5519","6618"
3574,"0018","0018","2415","4212"
3575,"7316","7316","8514","8614"
3576,"8521","8521","8519","8514"
3577,"8618","8619","6511","6509"
3578,"0022","0022","1621","3620"
3579,"7423","7423","8421","9419"
3580,"7618","7618","6516","4211"
3581,"1824","1824","2823","7720"
3582,"8419","8419","8418","6314"
3583,"7415","7416","6611","5805"
3584,"5623","5623","2521","0020"
3585,"3322","3323","4314","4309"
3586,"7722","7722","7721","7818"
3587,"2422","2422","3421","3420"
3588,"4321","4321","5521","5521"
3589,"7516","7516","3614","1713"
3590,"5421","5421","5517","4613"
3591,"5724","5724","5621","6313"
3592,"0012","0012","4411","6411"
3593,"3322","3322","5322","7421"
3594,"2610","2610","3609","7607"
3595,"6217","6217","5315","4410"
3596,"2322","2322","3519","3717"
3597,"4321","4321","5420","5520"
3598,"7619","8620","2412","0010"
3599,"1623","1623","2622","6620"
3600,"3322","3323","2417","1609"
3601,"7623","7624","7520","8211"
3602,"0019","0020","2615","3713"
3603,"4223","4223","3522","2722"
3604,"4422","4422","3618","3715"
3605,"7422","7422","6618","6715"
3606,"1623","1623","1622","1615"
3607,"9620","9620","8618","1407"
3608,"5720","5720","4618","2515"
3609,"7419","7419","6418","2314"
3610,"6723","6724","6719","5613"
3611,"8623","8623","8623","8622"
3612,"4418","4418","6516","8514"
3613,"0016","0016","1616","2815"
3614,"8621","8621","7619","3609"
3615,"2415","2415","5514","7614"
3616,"6423","7423","2623","0023"
3617,"1623","1623","1721","1720"
3618,"8517","8517","4613","2611"
3619,"3718","3718","4715","5711"
3620,"8216","8217","8512","8610"
3621,"1722","1722","2622","4321"
3622,"8522","8522","6422","4221"
3623,"4523","4523","5422","8321"
3624,"7621","7621","7420","7219"
3625,"4421","4421","5518","7712"
3626,"2514","2514","2609","2608"
3627,"9524","9524","7523","3421"
3628,"8419","9419","5616","0013"
3629,"0021","0021","5620","8519"
3630,"8417","8417","8512","8609"
3631,"2520","2520","3717","3815"
3632,"7719","7719","5618","3516"
3633,"2519","2519","3416","3414"
3634,"8718","8719","5615","2509"
3635,"6421","6422","7519","8610"
3636,"3622","3622","4520","5315"
3637,"6519","6519","6418","6317"
3638,"9620","9621","7515","6411"
3639,"3321","3321","3420","3519"
3640,"6222","6222","5422","4621"
3641,"7723","7723","7722","6721"
3642,"4321","4321","5321","5321"
3643,"5817","5817","6515","6314"
3644,"2417","2417","4515","7611"
3645,"4719","4719","3617","2413"
3646,"9417","9418","6610","5707"
3647,"0020","0020","1416","2211"
3648,"5522","5523","7616","8611"
3649,"0019","0019","0018","3510"
3650,"7421","7421","5320","3320"
3651,"1524","1524","1524","1424"
3652,"6320","6320","6320","6420"
3653,"6518","6518","6515","6512"
3654,"5521","5521","7420","9318"
3655,"4419","4419","4419","3419"
3656,"3623","3623","3520","2316"
3657,"4415","4415","3415","1314"
3658,"5223","5224","2415","0010"
3659,"1419","1420","2315","3311"
3660,"6617","6617","1412","0010"
3661,"2421","2422","6316","8312"
3662,"7822","7823","5719","3614"
3663,"0024","0024","4423","8322"
3664,"2518","2519","2615","1806"
3665,"4820","4821","6616","8409"
3666,"6813","6813","7711","8407"
3667,"4514","4514","3514","1513"
3668,"4420","4420","4420","7719"
3669,"6420","6420","6615","6712"
3670,"2715","2715","2614","2512"
3671,"4522","4522","5619","7811"
3672,"7218","7218","5417","2615"
3673,"3423","3423","4620","5816"
3674,"7813","7813","4710","2708"
3675,"7620","7620","6517","5411"
3676,"8820","8821","7512","7307"
3677,"3423","3423","6320","8318"
3678,"7317","7317","7213","7210"
3679,"4623","4623","3523","0023"
3680,"6619","6619","4619","1519"
3681,"8521","8521","8417","9213"
3682,"2418","2418","4616","5716"
3683,"8721","8721","6319","6218"
3684,"2817","2817","4716","8415"
3685,"2521","1521","6319","8218"
3686,"4718","4718","5616","5515"
3687,"5515","5515","4613","3611"
3688,"6320","6321","7316","8209"
3689,"0023","0023","1522","1621"
3690,"4522","4523","3519","2510"
3691,"6523","6523","5522","1717"
3692,"4519","4519","3418","1316"
3693,"4418","4419","4415","3409"
3694,"8719","8719","3519","2519"
3695,"4517","4517","3616","1814"
3696,"0018","0018","2613","3512"
