config_id,flight_ok,can_liftoff,rpm_launch,mass_kg,inertia_kg_m2,frontal_area_m2,T_static_N,Pshaft_ref_W,Q_ref_Nm,T_over_W_static,h_max_m,flight_time_s,hover_time_s,v_max_up_m_s,v_impact_m_s,rpm_impact,spin_stop_time_s
293,True,False,4000.0,0.017045,4.4e-05,0.001496,0.1319,0.487156,0.001163,0.788832,0.0,0.0,0.0,0.0,0.0,4000.0,
294,True,True,4000.0,0.013629,4.4e-05,0.001156,0.3448,1.695622,0.004048,2.578851,27.239383,8.935711,2.715024,9.113415,-10.215496,1340.45309,
295,True,False,4000.0,0.008745,2.2e-05,0.001031,0.07251,1.201345,0.002868,0.845224,0.0,0.0,0.0,0.0,0.0,4000.0,
296,False,False,4000.0,0.008719,2.9e-05,0.001106,,,,,,,,,,,
297,True,True,4000.0,0.005772,1.1e-05,0.000591,0.3886,1.801599,0.004301,6.863468,28.06482,7.153375,1.767445,14.855465,-10.61067,529.771405,
298,True,True,4000.0,0.00406,1.3e-05,0.000685,0.419,1.724525,0.004117,10.518861,40.94189,10.732009,3.027896,19.291555,-8.332153,447.639488,
299,True,True,4000.0,0.008701,2.8e-05,0.001169,0.1825,0.684867,0.001635,2.138015,23.003429,9.7839,3.299412,7.021054,-7.665324,1690.135925,
300,True,False,4000.0,0.012162,3.1e-05,0.001068,0.07049,0.476684,0.001138,0.590808,0.0,0.0,0.0,0.0,0.0,4000.0,
301,True,False,4000.0,0.014828,2.7e-05,0.00061,0.1254,0.375734,0.000897,0.862086,0.0,0.0,0.0,0.0,0.0,4000.0,
302,True,False,4000.0,0.017453,4.7e-05,0.001514,0.1445,0.62413,0.00149,0.843959,0.0,0.0,0.0,0.0,0.0,4000.0,
303,False,False,4000.0,0.020709,5e-05,0.001106,,,,,,,,,,,
304,True,False,4000.0,0.00598,2.3e-05,0.001181,0.04585,0.47082,0.001124,0.781519,0.0,0.0,0.0,0.0,0.0,4000.0,
305,False,False,4000.0,0.009623,3.1e-05,0.001106,,,,,,,,,,,
306,False,False,4000.0,0.008934,2.9e-05,0.001106,,,,,,,,,,,
307,True,False,4000.0,0.019867,6.8e-05,0.002049,0.08024,1.085316,0.002591,0.411707,0.0,0.0,0.0,0.0,0.0,4000.0,
308,True,False,4000.0,0.015987,4e-05,0.001439,0.06515,1.006147,0.002402,0.415419,0.0,0.0,0.0,0.0,0.0,4000.0,
309,True,False,4000.0,0.01838,4e-05,0.001081,0.1342,0.501398,0.001197,0.744299,0.0,0.0,0.0,0.0,0.0,4000.0,
310,True,False,4000.0,0.011444,3.8e-05,0.001131,0.09081,0.773251,0.001846,0.808854,0.0,0.0,0.0,0.0,0.0,4000.0,
311,True,True,4000.0,0.013835,3.9e-05,0.001131,0.3367,1.941923,0.004636,2.48089,19.336808,7.10341,2.039711,7.730408,-10.092756,1336.151359,
312,True,True,4000.0,0.010395,2.1e-05,0.000622,0.1144,1.342507,0.003205,1.121896,0.0209,0.507385,0.161787,0.094026,-0.266697,3374.29443,
313,True,False,4000.0,0.027842,6.3e-05,0.001772,0.04384,0.51187,0.001222,0.160512,0.0,0.0,0.0,0.0,0.0,4000.0,
314,True,False,4000.0,0.012818,4.7e-05,0.001628,0.0,2.093138,0.004997,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,
315,True,True,4000.0,0.005051,1.4e-05,0.001043,0.2004,0.759009,0.001812,4.044647,27.473942,10.092443,3.302369,10.275709,-6.990001,979.215346,
316,True,False,4000.0,0.012444,3.7e-05,0.001477,0.02962,0.167552,0.0004,0.242627,0.0,0.0,0.0,0.0,0.0,4000.0,
317,True,True,4000.0,0.01352,2.7e-05,0.001031,0.1659,1.048035,0.002502,1.250798,0.471253,1.757982,0.540015,0.6215,-1.657372,2887.904589,
318,True,False,4000.0,0.022645,4.8e-05,0.001364,0.01407,0.618265,0.001476,0.063336,0.0,0.0,0.0,0.0,0.0,4000.0,
319,True,True,4000.0,0.004502,8e-06,0.00061,0.2625,0.89305,0.002132,5.943975,29.515445,8.329854,2.322347,13.864019,-9.088565,652.147303,
320,True,False,4000.0,0.010034,3e-05,0.001458,0.05158,0.290283,0.000693,0.524021,0.0,0.0,0.0,0.0,0.0,4000.0,
321,True,False,4000.0,0.00645,1.6e-05,0.000993,0.03218,0.953788,0.002277,0.508616,0.0,0.0,0.0,0.0,0.0,4000.0,
322,True,True,4000.0,0.014978,5.1e-05,0.001628,0.4302,2.307186,0.005508,2.927842,27.051146,8.975019,2.771917,9.554111,-9.29724,1213.763758,
323,True,False,4000.0,0.004162,1e-05,0.000641,0.02723,0.454903,0.001086,0.66695,0.0,0.0,0.0,0.0,0.0,4000.0,
324,True,False,4000.0,0.004178,9e-06,0.000629,0.01665,0.726336,0.001734,0.406255,0.0,0.0,0.0,0.0,0.0,4000.0,
325,True,True,4000.0,0.017166,4.7e-05,0.001847,0.1827,0.783304,0.00187,1.084917,0.107937,1.365712,0.440037,0.179756,-0.516111,3544.463976,
326,True,True,4000.0,0.023805,8.2e-05,0.002074,0.5815,2.977811,0.007109,2.490123,26.990151,9.078598,2.803907,8.846463,-9.993708,1394.317126,
327,True,True,4000.0,0.007376,2.4e-05,0.001181,0.2536,1.790708,0.004275,3.504802,18.135043,6.856901,2.014716,8.692779,-7.910054,1011.556252,
328,True,True,4000.0,0.011971,3.3e-05,0.001144,0.7586,4.306076,0.01028,6.459807,32.926846,8.036063,2.066033,15.59187,-10.933841,572.956373,
329,True,True,4000.0,0.011357,3.3e-05,0.001093,0.196,1.059345,0.002529,1.759209,10.07236,5.901704,1.773467,4.399239,-7.617413,1920.747292,
330,True,False,4000.0,0.023614,6.6e-05,0.001194,0.1226,0.382855,0.000914,0.529238,0.0,0.0,0.0,0.0,0.0,4000.0,
331,False,False,4000.0,0.011508,3.4e-05,0.001119,,,,,,,,,,,
332,True,False,4000.0,0.024002,6.3e-05,0.001873,0.03498,1.04259,0.002489,0.14856,0.0,0.0,0.0,0.0,0.0,4000.0,
333,False,False,4000.0,0.012522,3.5e-05,0.001106,,,,,,,,,,,
334,False,False,4000.0,0.006252,1.5e-05,0.00066,,,,,,,,,,,
335,True,True,4000.0,0.014554,5.2e-05,0.001194,0.3521,2.192413,0.005234,2.466041,22.849291,7.98681,2.373376,8.267819,-10.188796,1371.303843,
336,True,False,4000.0,0.012917,2.9e-05,0.001043,0.1096,0.626224,0.001495,0.864912,0.0,0.0,0.0,0.0,0.0,4000.0,
337,True,True,4000.0,0.006751,1.4e-05,0.000629,0.5091,2.764183,0.006599,7.687355,26.872699,6.628789,1.5161,15.284064,-11.18708,459.721709,
