config_id,m_hub_kg,m_blades_kg,m_outer_ring_kg,m_total_kg
508,0.00063333,0.00449724,0.01032607,0.01545664
509,0.00063333,0.01027144,0.00165982,0.01256459
510,0.00063333,0.0065841,0.00208051,0.00929794
511,0.00063333,0.01216232,0.01434177,0.02713742
512,0.00063333,0.00788336,0.00488767,0.01340436
513,0.00063333,0.02087028,0.00139593,0.02289954
514,0.00063333,0.00337033,0.00712499,0.01112865
515,0.00063333,0.00390485,0.0032661,0.00780428
516,0.00063333,0.00360845,0.00094847,0.00519025
517,0.00063333,0.01163464,0.00966826,0.02193623
518,0.00063333,0.00232276,0.00596618,0.00892227
519,0.00063333,0.01531007,0.00471175,0.02065515
520,0.00063333,0.0046027,0.00936231,0.01459834
521,0.00063333,0.00855744,0.00702173,0.0162125
522,0.00063333,0.00558405,0.0014227,0.00764008
523,0.00063333,0.00524545,0.00206139,0.00794017
524,0.00063333,0.00848273,0.00283011,0.01194617
525,0.00063333,0.00900598,0.00227174,0.01191105
526,0.00063333,0.01033393,0.00316666,0.01413392
527,0.00063333,0.01992517,0.0058132,0.0263717
528,0.00063333,0.00976097,0.0036409,0.0140352
529,0.00063333,0.00515234,0.00172101,0.00750668
530,0.00063333,0.00620357,0.01101448,0.01785138
531,0.00063333,0.00736833,0.00116264,0.0091643
532,0.00063333,0.00214125,0.00535426,0.00812884
