config_id,qprop_ok,V,rpm,Dbeta,T,Q,Pshaft,CT,CP,FOM,eff_aero,cl_avg,cd_avg
1131,True,0.0,4000.0,0.0,0.3059,0.004774,2.0,0.02326,0.004595,0.38597,0.84156,0.2169,0.03328
1132,True,0.0,4000.0,0.0,0.3034,0.002819,1.181,0.04203,0.005742,0.75008,1.31074,0.3565,0.006819
1133,True,0.0,4000.0,0.0,0.1424,0.001825,0.7645,0.02855,0.005901,0.40864,0.87429,0.4207,0.06811
1134,True,0.0,4000.0,0.0,0.0667,0.0009,0.3772,0.01041,0.00213,0.24941,0.62883,0.0669,0.01554
1135,False,,,,,,,,,,,,
1136,True,0.0,4000.0,0.0,-0.205,0.003318,1.39,-0.02025,0.004428,,,-0.1521,0.03544
1137,True,0.0,4000.0,0.0,0.09719,0.004249,1.78,0.01014,0.006071,0.08405,0.30469,0.0768,0.05316
1138,True,0.0,4000.0,0.0,0.1207,0.008017,3.358,0.0113,0.01001,0.06002,0.24329,0.0775,0.07337
1139,True,0.0,4000.0,0.0,0.1929,0.001978,0.8287,0.03868,0.006396,0.59436,1.12257,0.3446,0.02224
1140,True,0.0,4000.0,0.0,0.1211,0.001194,0.5002,0.0201,0.003048,0.4672,0.95614,0.1756,0.01604
1141,True,0.0,4000.0,0.0,0.3363,0.0061,2.555,0.07195,0.02139,0.45104,0.93373,0.4085,0.04699
1142,True,0.0,4000.0,0.0,0.2284,0.001943,0.814,0.0522,0.007402,0.80558,1.37437,0.3834,0.006593
1143,True,0.0,4000.0,0.0,0.08768,0.001284,0.538,0.01548,0.003543,0.27179,0.66608,0.1541,0.03474
1144,True,0.0,4000.0,0.0,0.4884,0.006069,2.542,0.06766,0.01236,0.71174,1.26567,0.5079,0.02216
1145,True,0.0,4000.0,0.0,0.09339,0.000626,0.2623,0.0155,0.001599,0.60337,1.13353,0.1684,0.008369
1146,True,0.0,4000.0,0.0,-0.06746,0.002889,1.21,-0.009915,0.006338,,,-0.0655,0.05273
1147,False,,,,,,,,,,,,
1148,True,0.0,4000.0,0.0,0.1816,0.002526,1.058,0.01381,0.002431,0.33374,0.76384,0.139,0.01878
1149,True,0.0,4000.0,0.0,-0.03009,0.00226,0.9468,-0.005658,0.006746,,,-0.0376,0.0588
1150,True,0.0,4000.0,0.0,0.2463,0.003857,1.616,0.02433,0.005148,0.36844,0.81605,0.3159,0.05473
1151,True,0.0,4000.0,0.0,0.3594,0.005899,2.471,0.03364,0.007362,0.41906,0.88891,0.2097,0.03246
1152,True,0.0,4000.0,0.0,0.045,0.000632,0.2645,0.007025,0.001494,0.1971,0.53754,0.0599,0.01435
1153,True,0.0,4000.0,0.0,0.1108,0.001659,0.6951,0.01839,0.004236,0.29423,0.70244,0.1036,0.02115
1154,True,0.0,4000.0,0.0,0.1621,0.001647,0.69,0.0253,0.003896,0.51656,1.02182,0.2761,0.02134
1155,True,0.0,4000.0,0.0,0.5197,0.01017,4.259,0.07639,0.0223,0.47325,0.9642,0.5251,0.07956
1156,True,0.0,4000.0,0.0,0.2147,0.00165,0.6912,0.02806,0.003125,0.75186,1.31277,0.4098,0.01073
1157,True,0.0,4000.0,0.0,0.4697,0.004512,1.89,0.03958,0.004938,0.7973,1.36492,0.263,0.005585
1158,True,0.0,4000.0,0.0,0.09812,0.001565,0.6554,0.01845,0.00467,0.26831,0.66037,0.0695,0.01374
1159,False,,,,,,,,,,,,
1160,True,0.0,4000.0,0.0,0.00866,0.0056,2.346,0.000769,0.006542,0.00163,0.02198,0.0048,0.05825
1161,True,0.0,4000.0,0.0,0.01729,0.00083,0.3477,0.002869,0.002119,0.03626,0.1739,0.0353,0.03337
1162,True,0.0,4000.0,0.0,0.02886,0.001874,0.785,0.003771,0.003549,0.03263,0.16208,0.0268,0.03113
1163,True,0.0,4000.0,0.0,0.2556,0.004803,2.012,0.03154,0.008465,0.33072,0.75935,0.2047,0.04455
1164,False,,,,,,,,,,,,
1165,False,,,,,,,,,,,,
1166,False,,,,,,,,,,,,
1167,True,0.0,4000.0,0.0,0.05904,0.001063,0.4451,0.009215,0.002513,0.17602,0.49854,0.0492,0.01728
1168,False,,,,,,,,,,,,
1169,True,0.0,4000.0,0.0,0.2363,0.003019,1.265,0.03921,0.007708,0.50354,1.00485,0.3255,0.03667
1170,True,0.0,4000.0,0.0,0.2009,0.001389,0.5816,0.02095,0.001984,0.76448,1.32685,0.3709,0.00806
1171,True,0.0,4000.0,0.0,0.07282,0.002621,1.098,0.009515,0.004964,0.09349,0.32698,0.1032,0.06295
